鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,floor,parking,parking_price
平鎮區,房地(土地+建物)+車位,桃園市平鎮區南京路241~270號,22.6,住,,,1081206,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021209,154.08,2,2,2,有,有,6100000,39590,坡道平面,26.96,0,親友、員工或其他特殊關係間之交易。;,RPRPMLOJKHPFFGH98CA,13,1,1067346.4000000001
八德區,房地(土地+建物)+車位,桃園市八德區中華路271~300號,11.3,住,,,1081130,土地2建物2車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841201,107.49000000000001,3,2,2,有,有,4700000,43725,坡道平面,0.0,0,,RPQOMLOJKHPFFFH68CA,15,1,0.0
八德區,房地(土地+建物)+車位,桃園市八德區豐吉路1~30號,26.92,住,,,1081214,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031101,128.04,2,2,1,有,有,6650000,51937,坡道平面,0.0,0,,RPQNMLKMJHPFFFH38CA,13,1,0.0
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,30.05,住,,,1080319,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,171.85000000000002,3,2,2,有,有,13550000,82679,坡道平面,27.91,1650000,,RPRNMLSKKHPFFEH09CA,19,1,2307570.89
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,35.39,住,,,1081124,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,200.51,3,2,2,有,有,17500000,92171,坡道平面,31.26,1900000,,RPTNMLSKKHPFFEH66CA,19,1,2881265.46
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,31.74,住,,,1080501,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,181.01999999999998,3,2,2,有,有,13850000,80592,坡道平面,29.02,1600000,,RPVNMLSKKHPFFEH86CA,19,1,2338779.84
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,31.74,住,,,1071016,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,183.44,3,2,2,有,有,14050000,80263,坡道平面,31.44,1850000,,RPWNMLSKKHPFFEH96CA,19,1,2523468.72
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路31~60號,31.74,住,,,1081203,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,179.91,3,2,2,有,有,13980000,77710,坡道平面,0.0,0,,RPUOMLRJKHPFFEH66CA,19,1,0.0
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區錦明街61~90號,50.21,住,,,1081128,土地1建物2車位3,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041126,342.95,4,2,2,有,有,21080000,68746,坡道平面,88.68,3600000,,RPUOMLPJKHPFFEH09CA,15,3,6096395.28
中壢區,房地(土地+建物),桃園市中壢區龍慈路239巷1~30號,9.77,住,,,1090101,土地1建物1車位0,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890302,121.58,3,2,2,有,有,4900000,40303,,0.0,0,,RPOPMLKMJHPFFBH97CA,18,0,0.0
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路211~240號,14.35,住,,,1081122,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920613,137.91,3,2,2,有,有,8800000,63805,坡道平面,0.0,0,,RPXNMLRKKHPFFAH56CA,13,1,0.0
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路121~150號,23.45,住,,,1081207,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070824,175.17000000000002,3,2,2,有,有,12450000,71074,坡道平面,0.0,0,,RPTRMLRKKHPFFAH56CA,15,1,0.0
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路271~300號,20.73,住,,,1081229,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,151.05,3,2,2,有,有,11350000,80704,坡道平面,27.14,1350000,,RPWOMLOKKHPFFAH88CA,13,1,2190306.56
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080506,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13420000,90742,坡道平面,47.26,1600000,,RPORMLRJKHPFFAH58CA,13,1,4288466.92
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080423,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13420000,90742,坡道平面,47.26,1600000,,RPPRMLRJKHPFFAH68CA,13,1,4288466.92
